,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,346,-0.0013692569966690662,2.834725016508347,1460.844988201826,730.4211247272981,120.94279938615286,-8.376020431518555,1.0002568430625476,40000,10,0,115.47094225883484,0.012366666666666666,0.0,0.0,0.7916897913718557,1.0,0.0,-1619.9094751358032,3000.0
1,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,375,-0.000606351608159737,2.845314192313414,3540.208579234588,1770.1036813980493,440.60416611341327,-15.108898162841797,1.0001035716289128,80000,20,1,212.93219828605652,0.0262,0.0,0.0,0.7591222738222864,1.0,0.0,-2263.641147327423,3000.0
2,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,377,-0.0011933092601024188,2.840734344415176,4553.681621375451,2276.83961721567,732.5229172877777,-18.746524810791016,1.0000712325175602,120000,40,2,317.50249552726746,0.016766666666666666,0.0,0.0,0.7207835344099495,1.0,0.0,-2831.377920269966,3000.0
3,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,385,-0.002123053287132046,2.827374042914464,2170.9078410808856,1085.45179639963,275.7453952263563,-3.8104982376098633,1.0002357584161636,160000,50,3,415.3648190498352,0.0154,0.0,0.0,0.6968678378138936,1.0,0.0,-2643.0602675056457,3000.0
4,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,388,-0.00031815123362227894,2.816892737150192,1103.1554172271337,551.5773907343547,200.160425114326,1.9534350633621216,0.999707488868481,200000,60,4,515.2320759296417,0.0061,0.0,0.0,0.6784692802224892,1.0,0.0,-2462.9126678148905,3000.0
5,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,387,-0.0009602095295961659,2.792325409100606,3039.2369443844527,1519.6175118275178,553.8799082095807,-9.977752685546875,1.000448370896853,240000,80,5,619.6882467269897,0.017666666666666667,0.0,0.0,0.6666608928386774,1.0,0.0,-2379.3067531466486,3000.0
6,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,390,-0.0021131950755937934,2.7848903064544386,835.4639012495677,417.7298375985561,227.69284487626493,3.0692498683929443,0.9995897865066161,280000,90,6,717.3972294330597,0.006866666666666667,0.0,0.0,0.6498288008738229,1.0,0.0,-2227.302203655243,3000.0
7,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,391,-0.0006770107474249715,2.7317771569276466,295.4502943046582,147.72446988240267,101.65051986437578,5.466418266296387,1.000262119105229,320000,100,7,817.6783413887024,0.0020666666666666667,0.0,0.0,0.6079723187563955,1.0,0.0,-2034.03004073143,3000.0
8,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,390,-0.0006250824959865078,2.7392302207457715,8.22886341859897,4.113806626936182,21.922706379531284,5.7202324867248535,1.0000349119305612,360000,120,8,921.1919407844543,3.3333333333333335e-05,0.0,0.0,0.5861779798510237,1.0,0.0,-1581.3168727684022,3000.0
9,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-0.0011958190305636097,2.7380689005057017,2.075052511300414,1.036330435066842,10.53102811330404,4.14758825302124,0.9999625625518652,400000,130,9,1018.5939779281616,0.0,0.0,0.0,0.5793630917028944,1.0,0.0,-1149.1800626277923,3000.0
10,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00048819999046361025,2.7080590828871114,13.884275557759862,6.941649572577519,14.400720769434404,3.2920076847076416,0.9997551405277008,440000,140,10,1117.1794095039368,0.0002666666666666667,0.0,0.0,0.5832127217177981,1.0,0.0,-900.3217603588105,3000.0
11,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00022526678706829745,2.6971732893051246,412.6933803677559,206.34646509182758,75.03302899751908,1.180382251739502,0.9997211346641565,480000,160,11,1221.052009820938,0.0018,0.0,0.0,0.6069029521681147,1.0,0.0,-605.3133900165558,3000.0
12,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00021506496018562944,2.676256139920308,160.1264101162935,80.06299025271183,53.397373666518774,1.9523552656173706,1.0001382648944854,520000,170,12,1320.2137367725372,0.0014666666666666667,0.0,0.0,0.5950932288644614,1.0,0.0,-463.2719732284546,3000.0
13,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,394,-8.472459680305268e-05,2.674082778967344,36.16230510475162,18.081067762468965,21.991479886800814,2.208500862121582,1.0000793476517384,560000,180,13,1419.3699007034302,0.00036666666666666667,0.0,0.0,0.5957674978711223,1.0,0.0,-199.03778415679932,3000.0
14,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.0001351797454751646,2.671081220186674,508.32602545634296,254.16287735670042,123.69250395603669,-0.32741013169288635,1.0000477496630107,600000,200,14,1524.5131785869598,0.0,0.0,0.0,0.5997092283287719,1.0,0.0,-134.2877630138397,3000.0
15,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,394,-0.0008280891945991569,2.6506228475998608,0.6806579884428244,0.33950090596500115,4.280552106465285,1.419227957725525,0.9995672996227558,640000,210,15,1623.9026305675507,0.0,0.0,0.0,0.5863704718114761,1.0,0.0,-132.3639999485016,3000.0
16,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,394,-0.0007199414529634687,2.6408624814106867,0.7404379139343897,0.36949901489827497,4.192244606350477,1.308695673942566,0.9996456049573728,680000,220,16,1722.4888093471527,0.0,0.0,0.0,0.6019095413357524,1.0,0.0,-131.751906747818,3000.0
17,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,2.8199287286649147e-05,2.6179623966033643,21.274098724833667,10.637077620592065,16.433499126671215,1.4690415859222412,0.9999603466727794,720000,240,17,1828.844605922699,0.0,0.0,0.0,0.6101022503522942,1.0,0.0,-134.07735280990602,3000.0
18,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,394,-0.0016835818065700527,2.6165659982424514,0.3157839303645186,0.15620838301853301,2.19099003032614,0.7334055304527283,1.0003964379429817,760000,250,18,1928.2338428497314,0.0,0.0,0.0,0.6158403056919894,1.0,0.0,-107.69370136260986,3000.0
19,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,394,-0.000814066140446812,2.5694227719918277,0.2601263923116792,0.12924912969301192,2.1572889946974243,0.8718546628952026,0.9994674490812497,800000,260,19,2027.7230994701385,0.0,0.0,0.0,0.6360869224952369,1.0,0.0,-80.62908693313598,3000.0
20,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00040759018126827404,2.530783673280325,7.238167475054088,3.618676140225039,9.938696718941896,1.177856206893921,0.9998916786068525,840000,280,20,2133.826922416687,0.0,0.0,0.0,0.6403437442860709,1.0,0.0,-60.34984484672546,3000.0
21,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00047253253854787313,2.49715751684629,16.4835110784365,8.241283004168565,15.940171430584712,0.656345784664154,1.000203471038586,880000,290,21,2234.7895078659058,0.0003333333333333333,0.0,0.0,0.6406346057289741,1.0,0.0,3.751192445755005,3000.0
22,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.0007730882005909315,2.4621867286853303,105.0988198862626,52.54863694447737,54.891474119210855,0.08274681121110916,1.0000632769022233,920000,300,22,2335.925696372986,0.0015333333333333334,0.0,0.0,0.667723937963462,1.0,0.0,-18.290918655395508,3000.0
23,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-0.0005511253466232655,2.4642398649301285,624.3218428709569,312.16037058218933,166.41626984767424,-2.5465574264526367,1.0001512919098903,960000,320,23,2443.30952835083,0.0,0.0,0.0,0.7080035363016692,1.0,0.0,-109.48242873191833,3000.0
24,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.0021684056882245034,2.455103000922081,0.38837785638319566,0.19202052199651892,3.4260178084938953,0.3282148838043213,1.0003183639202362,1000000,330,24,2542.3851866722107,0.0,0.0,0.0,0.6861295439190771,1.0,0.0,-104.21075630187988,3000.0
25,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.00587578850517718,2.4225166623408976,0.1587812162625293,0.07351481983742605,1.9891410517960022,0.5029228329658508,0.9995851773864184,1040000,340,25,2644.3243827819824,0.0,0.0,0.0,0.7795775955729005,1.0,0.0,-102.61987901687623,3000.0
26,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-4.8302832799844256e-05,2.376330423966432,11.905232360818161,5.952567870944338,4.031836020096373,0.5099853277206421,1.000649505930069,1080000,360,26,2750.2587254047394,0.0002,0.0,0.0,0.9460599373771734,1.0,0.0,-99.31159914016723,3000.0
27,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-0.0007323578779155818,2.3691990271592753,208.8884849510896,104.44350961581446,30.9726597292301,-0.5928618907928467,0.9996563784587078,1120000,370,27,2850.978175878525,0.0014333333333333333,0.0,0.0,1.1934369140018504,1.0,0.0,-117.20943906784058,3000.0
28,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,393,-0.009949185750865114,2.268764429214673,0.18995934015092178,0.08503048419444942,2.1384086596660126,0.700984001159668,1.0008449944166036,1160000,380,28,2951.540113925934,0.0,0.0,0.0,1.1205577091553074,1.0,0.0,-112.091645860672,3000.0
29,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-0.013577500617621132,2.1836718696814317,0.18521890328385127,0.07903195070699813,2.127205692556424,0.8361344337463379,0.9993879393507272,1200000,400,29,3058.1730077266693,0.0,0.0,0.0,1.375041867843004,1.0,0.0,-70.88273519515991,3000.0
30,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,392,-0.0016234715740817288,2.2388836869826685,68.57011385567678,34.28343348059899,21.1054361448074,0.2729590833187103,1.000790850053995,1240000,410,30,3160.9528346061707,0.0009666666666666667,0.0,0.0,1.9451381340886846,1.0,0.0,20.013960607158943,3000.0
31,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,391,-0.0008953874841189155,2.2361609240372977,265.15998692252697,132.57909830136177,47.017094960579506,-0.29533469676971436,0.9996400157610575,1280000,420,31,3266.8513493537903,0.00016666666666666666,0.0,0.0,2.4639766787967297,1.0,0.0,3.7182660901279405,3000.0
32,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,390,-0.000559569651989314,2.227150106277221,897.1476973166832,448.5732896098724,195.61059133334038,-2.436333417892456,1.0000622384441205,1320000,440,32,3382.554873228073,0.005333333333333333,0.0,0.0,2.8299546892604988,1.0,0.0,-52.76791283656346,3000.0
33,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,389,-0.002608033760976142,2.155049303708932,585.6193860909877,292.80708528848794,195.2578499952952,-2.1830029487609863,0.9995750136100329,1360000,450,33,3488.8901546001434,0.0056,0.0,0.0,2.6194588416050304,1.0,0.0,-120.25400196362689,3000.0
34,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,389,-0.001845387918038819,2.164867047315989,626.0864341210096,313.0413716267317,229.8979788523454,-1.4494743347167969,1.0000670308103927,1400000,460,34,3596.691162109375,0.0047,0.0,0.0,2.869706914420092,1.0,0.0,-115.5635588841241,3000.0
35,/content/gdrive/MyDrive/cs260r/assignment4/train_ppo_in_singleagent_env/ppo_vel_10/ppo,388,-0.0048171601565674136,2.122713719423001,193.02773056274805,96.50904806577242,128.98562379983755,0.5312751531600952,0.9995994962560825,1440000,480,35,3708.5952208042145,0.0019666666666666665,0.0,0.0,2.795618939087693,1.0,0.0,-156.1809287624135,3000.0
